Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
Track2Data,Alphanumeric,17,76,"Data read from Track 2 of the magnetic stripe on a credit or debit card. You must delete the start, end, and lrc sentinels. According to the regulations, you can't store this data.",<Track2Data>123123123</Track2Data>,"{
  ""Track2Data"": ""123123123""
}",,,,"New-Item -Path . -Name ""Track2Data.md"" -ItemType ""file"" -Value ""# Track2Data"";Add-Content -Path "".\Track2Data.md"" -Value ""`n""","Add-Content -Path "".\Track2Data.md"" @""
Data read from Track 2 of the magnetic stripe on a credit or debit card. You must delete the start, end, and lrc sentinels. According to the regulations, you can't store this data.
""@","Add-Content -Path "".\Track2Data.md"" -Value ""`n"";Add-Content -Path "".\Track2Data.md"" -Value ""## Specifications"";Add-Content -Path "".\Track2Data.md"" -Value ""`n"";Add-Content -Path "".\Track2Data.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Track2Data.md"" -Value ""* Minimal length: 17"";Add-Content -Path "".\Track2Data.md"" -Value ""* Maximal length: 76"";Add-Content -Path "".\Track2Data.md"" -Value ""`n"";Add-Content -Path "".\Track2Data.md"" -Value ""## Example"";Add-Content -Path "".\Track2Data.md"" -Value ""`n"";Add-Content -Path "".\Track2Data.md"" -Value ""`````` json""","Add-Content -Path "".\Track2Data.md"" @""
{
  ""Track2Data"": ""123123123""
}
""@","Add-Content -Path "".\Track2Data.md"" -Value ""``````"""
TrackData,String,17,76,"Data read from the magnetic stripe on a credit or debit card. You must delete the start, end, and lrc sentinels. According to the regulations, you can't store this data.",,"{
  ""TrackData"": ""123123123""
}",,,,"New-Item -Path . -Name ""TrackData.md"" -ItemType ""file"" -Value ""# TrackData"";Add-Content -Path "".\TrackData.md"" -Value ""`n""","Add-Content -Path "".\TrackData.md"" @""
Data read from the magnetic stripe on a credit or debit card. You must delete the start, end, and lrc sentinels. According to the regulations, you can't store this data.
""@","Add-Content -Path "".\TrackData.md"" -Value ""`n"";Add-Content -Path "".\TrackData.md"" -Value ""## Specifications"";Add-Content -Path "".\TrackData.md"" -Value ""`n"";Add-Content -Path "".\TrackData.md"" -Value ""* Data type: String"";Add-Content -Path "".\TrackData.md"" -Value ""* Minimal length: 17"";Add-Content -Path "".\TrackData.md"" -Value ""* Maximal length: 76"";Add-Content -Path "".\TrackData.md"" -Value ""`n"";Add-Content -Path "".\TrackData.md"" -Value ""## Example"";Add-Content -Path "".\TrackData.md"" -Value ""`n"";Add-Content -Path "".\TrackData.md"" -Value ""`````` json""","Add-Content -Path "".\TrackData.md"" @""
{
  ""TrackData"": ""123123123""
}
""@","Add-Content -Path "".\TrackData.md"" -Value ""``````"""
TranAction,String [enum],1,8,"The action that the system performs for the specified TranType element.

Possible values are Auth, Avs, Cancel, Capture, Close, Delete, Force, Forecast, Insert, Lookup, Ping, Query, Refund, Report, Return, Reversal, Sale, Void.",<TranAction>Ping</TranAction>,"{
  ""TranAction"": ""Ping""
}",,,,"New-Item -Path . -Name ""TranAction.md"" -ItemType ""file"" -Value ""# TranAction"";Add-Content -Path "".\TranAction.md"" -Value ""`n""","Add-Content -Path "".\TranAction.md"" @""
The action that the system performs for the specified TranType element.

Possible values are Auth, Avs, Cancel, Capture, Close, Delete, Force, Forecast, Insert, Lookup, Ping, Query, Refund, Report, Return, Reversal, Sale, Void.
""@","Add-Content -Path "".\TranAction.md"" -Value ""`n"";Add-Content -Path "".\TranAction.md"" -Value ""## Specifications"";Add-Content -Path "".\TranAction.md"" -Value ""`n"";Add-Content -Path "".\TranAction.md"" -Value ""* Data type: String [enum]"";Add-Content -Path "".\TranAction.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\TranAction.md"" -Value ""* Maximal length: 8"";Add-Content -Path "".\TranAction.md"" -Value ""`n"";Add-Content -Path "".\TranAction.md"" -Value ""## Example"";Add-Content -Path "".\TranAction.md"" -Value ""`n"";Add-Content -Path "".\TranAction.md"" -Value ""`````` json""","Add-Content -Path "".\TranAction.md"" @""
{
  ""TranAction"": ""Ping""
}
""@","Add-Content -Path "".\TranAction.md"" -Value ""``````"""
TranDate,Date,10,10,"The date of the transaction request.

The value of this element is in DDMMYYYY format.",<TranDate>11172023</TranDate>,"{
  ""TranDate"": ""11172023""
}",,,,"New-Item -Path . -Name ""TranDate.md"" -ItemType ""file"" -Value ""# TranDate"";Add-Content -Path "".\TranDate.md"" -Value ""`n""","Add-Content -Path "".\TranDate.md"" @""
The date of the transaction request.

The value of this element is in DDMMYYYY format.
""@","Add-Content -Path "".\TranDate.md"" -Value ""`n"";Add-Content -Path "".\TranDate.md"" -Value ""## Specifications"";Add-Content -Path "".\TranDate.md"" -Value ""`n"";Add-Content -Path "".\TranDate.md"" -Value ""* Data type: Date"";Add-Content -Path "".\TranDate.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\TranDate.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\TranDate.md"" -Value ""`n"";Add-Content -Path "".\TranDate.md"" -Value ""## Example"";Add-Content -Path "".\TranDate.md"" -Value ""`n"";Add-Content -Path "".\TranDate.md"" -Value ""`````` json""","Add-Content -Path "".\TranDate.md"" @""
{
  ""TranDate"": ""11172023""
}
""@","Add-Content -Path "".\TranDate.md"" -Value ""``````"""
TransactionId,String,,,The unique transaction identifier that the Transaction Services system assigns to identify a single transaction.,,,,,,"New-Item -Path . -Name ""TransactionId.md"" -ItemType ""file"" -Value ""# TransactionId"";Add-Content -Path "".\TransactionId.md"" -Value ""`n""","Add-Content -Path "".\TransactionId.md"" @""
The unique transaction identifier that the Transaction Services system assigns to identify a single transaction.
""@","Add-Content -Path "".\TransactionId.md"" -Value ""`n"";Add-Content -Path "".\TransactionId.md"" -Value ""## Specifications"";Add-Content -Path "".\TransactionId.md"" -Value ""`n"";Add-Content -Path "".\TransactionId.md"" -Value ""* Data type: String"";Add-Content -Path "".\TransactionId.md"" -Value ""* Minimal length: "";Add-Content -Path "".\TransactionId.md"" -Value ""* Maximal length: "";Add-Content -Path "".\TransactionId.md"" -Value ""`n"";Add-Content -Path "".\TransactionId.md"" -Value ""## Example"";Add-Content -Path "".\TransactionId.md"" -Value ""`n"";Add-Content -Path "".\TransactionId.md"" -Value ""`````` json""","Add-Content -Path "".\TransactionId.md"" @""

""@","Add-Content -Path "".\TransactionId.md"" -Value ""``````"""
TranTime,Alphanumeric,8,8,"The time of the transaction request. The value of this element is expressed in Greenwich Mean Time (GMT).

The value of this element is in eight-digit time format (HHMMSSDD), which includes hours, minutes, seconds, and milliseconds.",<TranTime>13522485</TranTime>,"{
  ""TranTime"": ""13522485""
}",,,,"New-Item -Path . -Name ""TranTime.md"" -ItemType ""file"" -Value ""# TranTime"";Add-Content -Path "".\TranTime.md"" -Value ""`n""","Add-Content -Path "".\TranTime.md"" @""
The time of the transaction request. The value of this element is expressed in Greenwich Mean Time (GMT).

The value of this element is in eight-digit time format (HHMMSSDD), which includes hours, minutes, seconds, and milliseconds.
""@","Add-Content -Path "".\TranTime.md"" -Value ""`n"";Add-Content -Path "".\TranTime.md"" -Value ""## Specifications"";Add-Content -Path "".\TranTime.md"" -Value ""`n"";Add-Content -Path "".\TranTime.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\TranTime.md"" -Value ""* Minimal length: 8"";Add-Content -Path "".\TranTime.md"" -Value ""* Maximal length: 8"";Add-Content -Path "".\TranTime.md"" -Value ""`n"";Add-Content -Path "".\TranTime.md"" -Value ""## Example"";Add-Content -Path "".\TranTime.md"" -Value ""`n"";Add-Content -Path "".\TranTime.md"" -Value ""`````` json""","Add-Content -Path "".\TranTime.md"" @""
{
  ""TranTime"": ""13522485""
}
""@","Add-Content -Path "".\TranTime.md"" -Value ""``````"""
TranType,String [enum],1,11,"The type of requested transaction.

Possible values are Ach, Bank, Batch, Credit, Debit, GeoIp, NegativeDB, Network, Recurring, Rights, Rule, StorageSafe, and Velocity.",<TranType>Credit</TranType>,"{
  ""TranType"": ""Credit""
}",,,,"New-Item -Path . -Name ""TranType.md"" -ItemType ""file"" -Value ""# TranType"";Add-Content -Path "".\TranType.md"" -Value ""`n""","Add-Content -Path "".\TranType.md"" @""
The type of requested transaction.

Possible values are Ach, Bank, Batch, Credit, Debit, GeoIp, NegativeDB, Network, Recurring, Rights, Rule, StorageSafe, and Velocity.
""@","Add-Content -Path "".\TranType.md"" -Value ""`n"";Add-Content -Path "".\TranType.md"" -Value ""## Specifications"";Add-Content -Path "".\TranType.md"" -Value ""`n"";Add-Content -Path "".\TranType.md"" -Value ""* Data type: String [enum]"";Add-Content -Path "".\TranType.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\TranType.md"" -Value ""* Maximal length: 11"";Add-Content -Path "".\TranType.md"" -Value ""`n"";Add-Content -Path "".\TranType.md"" -Value ""## Example"";Add-Content -Path "".\TranType.md"" -Value ""`n"";Add-Content -Path "".\TranType.md"" -Value ""`````` json""","Add-Content -Path "".\TranType.md"" @""
{
  ""TranType"": ""Credit""
}
""@","Add-Content -Path "".\TranType.md"" -Value ""``````"""
UcafData,Base64,1,32,The Universal Cardholder Authentication Field (UCAF) data that MasterCard uses for authentication.,<UcafData>5</UcafData>,"{
  ""UcafData"": ""5""
}",,,,"New-Item -Path . -Name ""UcafData.md"" -ItemType ""file"" -Value ""# UcafData"";Add-Content -Path "".\UcafData.md"" -Value ""`n""","Add-Content -Path "".\UcafData.md"" @""
The Universal Cardholder Authentication Field (UCAF) data that MasterCard uses for authentication.
""@","Add-Content -Path "".\UcafData.md"" -Value ""`n"";Add-Content -Path "".\UcafData.md"" -Value ""## Specifications"";Add-Content -Path "".\UcafData.md"" -Value ""`n"";Add-Content -Path "".\UcafData.md"" -Value ""* Data type: Base64"";Add-Content -Path "".\UcafData.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\UcafData.md"" -Value ""* Maximal length: 32"";Add-Content -Path "".\UcafData.md"" -Value ""`n"";Add-Content -Path "".\UcafData.md"" -Value ""## Example"";Add-Content -Path "".\UcafData.md"" -Value ""`n"";Add-Content -Path "".\UcafData.md"" -Value ""`````` json""","Add-Content -Path "".\UcafData.md"" @""
{
  ""UcafData"": ""5""
}
""@","Add-Content -Path "".\UcafData.md"" -Value ""``````"""
UcafIndicator,Numeric,1,1,"An indicator of the support and usage of MasterCard Universal Cardholder Authentication.

The value of 0 indicates that the UCAF data collection isn't supported.
The value of 1 indicates that the UCAF data collection is supported but the UCAF data isn't present.
The value of 2 indicates that the UCAF data collection is supported and the UCAF data is present.",<UcafIndicator>0</UcafIndicator>,"{
  ""UcafIndicator"": ""0""
}",,,,"New-Item -Path . -Name ""UcafIndicator.md"" -ItemType ""file"" -Value ""# UcafIndicator"";Add-Content -Path "".\UcafIndicator.md"" -Value ""`n""","Add-Content -Path "".\UcafIndicator.md"" @""
An indicator of the support and usage of MasterCard Universal Cardholder Authentication.

The value of 0 indicates that the UCAF data collection isn't supported.
The value of 1 indicates that the UCAF data collection is supported but the UCAF data isn't present.
The value of 2 indicates that the UCAF data collection is supported and the UCAF data is present.
""@","Add-Content -Path "".\UcafIndicator.md"" -Value ""`n"";Add-Content -Path "".\UcafIndicator.md"" -Value ""## Specifications"";Add-Content -Path "".\UcafIndicator.md"" -Value ""`n"";Add-Content -Path "".\UcafIndicator.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\UcafIndicator.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\UcafIndicator.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\UcafIndicator.md"" -Value ""`n"";Add-Content -Path "".\UcafIndicator.md"" -Value ""## Example"";Add-Content -Path "".\UcafIndicator.md"" -Value ""`n"";Add-Content -Path "".\UcafIndicator.md"" -Value ""`````` json""","Add-Content -Path "".\UcafIndicator.md"" @""
{
  ""UcafIndicator"": ""0""
}
""@","Add-Content -Path "".\UcafIndicator.md"" -Value ""``````"""
Url,Alphanumeric,1,50,The website address of the client or business.,<Url>www.trxservices.com</Url>,"{
  ""Url"": ""www.trxservices.com""
}",,,,"New-Item -Path . -Name ""Url.md"" -ItemType ""file"" -Value ""# Url"";Add-Content -Path "".\Url.md"" -Value ""`n""","Add-Content -Path "".\Url.md"" @""
The website address of the client or business.
""@","Add-Content -Path "".\Url.md"" -Value ""`n"";Add-Content -Path "".\Url.md"" -Value ""## Specifications"";Add-Content -Path "".\Url.md"" -Value ""`n"";Add-Content -Path "".\Url.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Url.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Url.md"" -Value ""* Maximal length: 50"";Add-Content -Path "".\Url.md"" -Value ""`n"";Add-Content -Path "".\Url.md"" -Value ""## Example"";Add-Content -Path "".\Url.md"" -Value ""`n"";Add-Content -Path "".\Url.md"" -Value ""`````` json""","Add-Content -Path "".\Url.md"" @""
{
  ""Url"": ""www.trxservices.com""
}
""@","Add-Content -Path "".\Url.md"" -Value ""``````"""
User,Array of elements,N/A,N/A,Contains all the sub-elements that define a user in the system.,,"""User"": {
      ""UserName"": ""string"",
      ""Token"": ""string""
    }",,,,"New-Item -Path . -Name ""User.md"" -ItemType ""file"" -Value ""# User"";Add-Content -Path "".\User.md"" -Value ""`n""","Add-Content -Path "".\User.md"" @""
Contains all the sub-elements that define a user in the system.
""@","Add-Content -Path "".\User.md"" -Value ""`n"";Add-Content -Path "".\User.md"" -Value ""## Specifications"";Add-Content -Path "".\User.md"" -Value ""`n"";Add-Content -Path "".\User.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\User.md"" -Value ""`n"";Add-Content -Path "".\User.md"" -Value ""## Example"";Add-Content -Path "".\User.md"" -Value ""`n"";Add-Content -Path "".\User.md"" -Value ""`````` json""","Add-Content -Path "".\User.md"" @""
""User"": {
      ""UserName"": ""string"",
      ""Token"": ""string""
    }
""@","Add-Content -Path "".\User.md"" -Value ""``````"""
UserDefined,Array of elements,N/A,N/A,Contains undefined elements that the Transaction Services system stores for reporting purposes.,,"""UserDefined"": {
      ""Any"": [
        null
      ]
    }",,,,"New-Item -Path . -Name ""UserDefined.md"" -ItemType ""file"" -Value ""# UserDefined"";Add-Content -Path "".\UserDefined.md"" -Value ""`n""","Add-Content -Path "".\UserDefined.md"" @""
Contains undefined elements that the Transaction Services system stores for reporting purposes.
""@","Add-Content -Path "".\UserDefined.md"" -Value ""`n"";Add-Content -Path "".\UserDefined.md"" -Value ""## Specifications"";Add-Content -Path "".\UserDefined.md"" -Value ""`n"";Add-Content -Path "".\UserDefined.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\UserDefined.md"" -Value ""`n"";Add-Content -Path "".\UserDefined.md"" -Value ""## Example"";Add-Content -Path "".\UserDefined.md"" -Value ""`n"";Add-Content -Path "".\UserDefined.md"" -Value ""`````` json""","Add-Content -Path "".\UserDefined.md"" @""
""UserDefined"": {
      ""Any"": [
        null
      ]
    }
""@","Add-Content -Path "".\UserDefined.md"" -Value ""``````"""
Version,String,,,,,,,,,"New-Item -Path . -Name ""Version.md"" -ItemType ""file"" -Value ""# Version"";Add-Content -Path "".\Version.md"" -Value ""`n""","Add-Content -Path "".\Version.md"" @""

""@","Add-Content -Path "".\Version.md"" -Value ""`n"";Add-Content -Path "".\Version.md"" -Value ""## Specifications"";Add-Content -Path "".\Version.md"" -Value ""`n"";Add-Content -Path "".\Version.md"" -Value ""* Data type: String"";Add-Content -Path "".\Version.md"" -Value ""* Minimal length: "";Add-Content -Path "".\Version.md"" -Value ""* Maximal length: "";Add-Content -Path "".\Version.md"" -Value ""`n"";Add-Content -Path "".\Version.md"" -Value ""## Example"";Add-Content -Path "".\Version.md"" -Value ""`n"";Add-Content -Path "".\Version.md"" -Value ""`````` json""","Add-Content -Path "".\Version.md"" @""

""@","Add-Content -Path "".\Version.md"" -Value ""``````"""
